name,player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
Cameron Brate,00-0031273,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,36,55,311.0,4,0.0,0.0,385.0,90.0,21.0,3.9523331831749884,0,12.979392613304558,1.3805978743589848,0.872759227368384,2.6818282706963457,0.0,55.1,91.1,14,0.10223048327137546,0.06868867082961641,0.05593536357986327,0.20829666157075633,0.07013982859720343,0.13333333333333333,0.1,0.10416666666666667,0.10173658096526839,0.08277852954442941,0.5780669144981413,0.0659113271980089
Carlos Hyde,00-0031045,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,245,1070.0,6,4.0,2.0,55.0,-13.75208536098944,0,10,16,42.0,0,0.0,0.0,22.0,51.0,2.0,-17.26992186147254,0,-14.25,0.46833879153887265,0.07010758267136151,0.751583495178262,0.0,143.2,153.2,16,0.0299625468164794,0.004639392661324336,0.02820796460176991,0.04865533435377857,0.010286554004408524,0.0,0.009852216748768473,0.008695652173913044,0.005143277002204262,0.00822924320352682,0.07865168539325842,0.10482237670370573
Carson Wentz,00-0032950,2019,REG,388,607,4039.0,27,7.0,37.0,230.0,10,4,4889.0,1805.0,213.0,42.42268962561957,2,14.405865536260496,1.4588749840683057,62,243.0,1,5.0,3.0,21.0,-8.714505911630113,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,275.86,275.86,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18492746628053522
Case Keenum,00-0028986,2019,REG,160,247,1707.0,11,5.0,15.0,145.0,4,2,1700.0,800.0,83.0,-3.2112300295661758,0,9.133169691238152,0.7941545190690296,9,12.0,1,2.0,1.0,2.0,-6.386571974988328,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,103.48,103.48,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14798078023109484
Cedrick Wilson,00-0034418,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,8,46.0,0,0.0,0.0,134.0,11.0,2.0,2.3953404419880826,0,0.7301587301587301,0.20891861761426977,0.3686795515934164,0.5714536125367962,0.0,4.6000000000000005,9.600000000000001,3,0.06611570247933884,0.10576164167324388,0.040740740740740744,0.18378286705760338,0.053613053613053616,0.0,0.045454545454545456,0.0425531914893617,0.026806526806526808,0.042890442890442894,0.38016528925619836,0.031712473572938694
Cethan Carter,00-0033338,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,3,13.0,1,0.0,0.0,8.0,5.0,2.0,2.3386816620477475,0,1.625,0.10600255427841634,0.034934497816593885,0.18345797988924023,0.0,7.3,9.3,2,0.05084745762711865,0.016260162601626018,0.031446540880503145,0.08927931652197879,0.03812316715542522,0.5,0.09523809523809523,0.13043478260869565,0.2690615835777126,0.13049853372434017,0.22033898305084745,0.06501677852348994
Chad Beebe,00-0034309,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,70.0,0,0.0,0.0,4.0,66.0,2.0,6.3147899011091795,0,15.25,0.14814814814814814,0.013559322033898305,0.23171374764595104,0.0,7.000000000000001,9.0,2,0.047619047619047616,0.010362694300518135,0.42038216560509556,0.07971872686898593,0.21341463414634146,0.0,0.2,0.16666666666666666,0.10670731707317073,0.17073170731707318,1.6666666666666667,0.06386602327561737
Chad Williams,00-0033933,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,15.0,0.0,0.0,-1.0844576968811452,0,0.0,0.02857142857142857,0.04201680672268908,0.0722689075630252,0.0,0.0,0.0,1,0.027777777777777776,0.042735042735042736,0.0,0.07585470085470086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Clay,00-0028112,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,18,24,237.0,1,0.0,0.0,152.0,95.0,12.0,10.622719018028913,0,17.40190985485103,0.8160227800111276,0.6323920411708052,1.666708598836255,0.0,29.7,47.7,15,0.047244094488188976,0.040169133192389,0.05337078651685393,0.10300144828619467,0.06767561393489435,0.05555555555555555,0.07453416149068323,0.07262569832402235,0.06161558474522495,0.0652516022590266,0.46653543307086615,0.03733621377917626
Charles Jones,00-0035553,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,1,5.0,0,0.0,0.0,3.0,2.0,0.0,-0.6341140447184443,0,1.6666666666666667,0.02564102564102564,0.01293103448275862,0.047513262599469495,0.0,0.5,1.5,1,0.02564102564102564,0.01293103448275862,0.015625,0.04880636604774536,0.01694915254237288,0.0,0.0,0.0,0.00847457627118644,0.013559322033898306,0.1282051282051282,0.014018691588785047
